"filename", "language", "JSON", "Ignore", "Shell Script", "Markdown", "TypeScript", "YAML", "Docker", "Ruby", "JavaScript", "HTML", "CSS", "erb", "TypeScript JSX", "comment", "blank", "total"
"/home/leong/Desktop/Projects/gossip/db/migrate/20231231165658_add_comments_count.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/home/leong/Desktop/Projects/gossip/db/migrate/20240101104014_create_users.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"/home/leong/Desktop/Projects/gossip/db/migrate/20240103172552_set_username_limit.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/home/leong/Desktop/Projects/gossip/db/migrate/20240104045753_remove_user_password_and_bio.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/home/leong/Desktop/Projects/gossip/db/migrate/20240104064037_add_username_to_post_and_comment.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/home/leong/Desktop/Projects/gossip/db/migrate/20240110132614_create_categories.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"/home/leong/Desktop/Projects/gossip/db/migrate/20240110133050_link_posts_to_category.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/home/leong/Desktop/Projects/gossip/db/migrate/20240112092009_create_replies.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"/home/leong/Desktop/Projects/gossip/db/migrate/20240112173602_add_replies_count.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/home/leong/Desktop/Projects/gossip/db/migrate/20240113024722_link_replies_to_post_though_comment.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/home/leong/Desktop/Projects/gossip/db/migrate/20240118170803_link_posts_to_user.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"/home/leong/Desktop/Projects/gossip/db/migrate/20240118171000_link_comments_to_user.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"/home/leong/Desktop/Projects/gossip/db/migrate/20240118180250_link_replies_to_user.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"/home/leong/Desktop/Projects/gossip/db/migrate/20240121085253_add_default_posts_count_to_category.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/home/leong/Desktop/Projects/gossip/db/schema.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 12, 8, 70
"/home/leong/Desktop/Projects/gossip/db/seeds.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 7, 2, 15
"/home/leong/Desktop/Projects/gossip/docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"/home/leong/Desktop/Projects/gossip/docker-rails.sh", "Shell Script", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"/home/leong/Desktop/Projects/gossip/docker-vite.sh", "Shell Script", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
